団体コード,団体名,自治体サイトのオープンデータページURL,オープンデータ掲載サイトのURL1,オープンデータ掲載サイトのURL1の名称,オープンデータ掲載サイトのURL1の概要,オープンデータ掲載サイトのURL2,オープンデータ掲載サイトのURL2の名称,オープンデータ掲載サイトのURL2の概要,オープンデータ掲載サイトのURL3,オープンデータ掲載サイトのURL3の名称,オープンデータ掲載サイトのURL3の概要,初回登録日,更新日,主な分類,API有無,ライセンス
010006,北海道,http://www.pref.hokkaido.lg.jp/ss/jsk/opendata/opendata.htm,https://www.harp.lg.jp/opendata/,北海道オープンデータポータル,北海道と北海道内市町村（北海道電子自治体共同システム参加団体）が共同でデータを登録できるポータルサイト。,,,,,,,,,人口・世帯、農林水産業、統計、防災、運輸・観光、子育て、ゴミ・環境保全、区市町村の基本情報、行政活動情報、健康・医療、教育・文化・スポーツ・生活,無,CC-BY
020001,青森県,https://opendata.pref.aomori.lg.jp/,https://opendata.pref.aomori.lg.jp/,青い森オープンデータカタログ,青森県では、行政や民間が有する公共公益的なデータを登録し、利用できる「青い森オープンデータカタログ」を開設し、生活・環境、教育、保健・医療・福祉、観光、文化、産業など幅広い分野の統計データや映像素材などのコンテンツを公開しています。,,,,,,,,2019/03/11,運輸・観光、教育・文化・スポーツ・生活、住民向け情報(暮らしの情報)、自然景観、施設景観、公園・庭園、動・植物,無,CC-BY
030007,岩手県,https://www.pref.iwate.jp/opendata/,https://www.pref.iwate.jp/opendata/,岩手県オープンデータサイト ,岩手県の各組織が保有するデータのうち、オープンデータとして利用できるデータを公開しています。,,,,,,,,2024/02/06,国土・気象、人口・世帯、労働・賃金、農林水産業、鉱工業、商業・サービス業、企業・家計・経済、住宅・土地・建設、エネルギー・水、運輸・観光、情報通信・科学技術、教育・文化・スポーツ・生活、行財政、司法・安全・環境、社会保障・衛生、,無,CC-BY
040002,宮城県,http://www.pref.miyagi.jp/site/opendata-miyagi/,https://miyagi.dataeye.jp/datasets?organization_id=1,,,https://www.pref.miyagi.jp/site/opendata-miyagi/,オープンデータみやぎ,宮城県と県内全市町村のオープンデータを共同で公開するサイト・公開日は令和４年１０月３日・公開するデータは全て機械判読可能な形式とします・プラットフォームはdataeye（一社データクレイドル）を使用・データの可視化やAPI連携機能も付いている・今後、政府推奨データセット、防災関係データセット等の整備を県と市町村が共同で取り組んでいく。,,,,,2022/11/07,防災、行政活動情報、司法・安全・環境、交通、健康・医療、農林水産業,有,CC-BY
050008,秋田県,https://www.pref.akita.lg.jp/pages/archive/32419,https://opendata.pref.akita.lg.jp/,秋田県オープンデータカタログサイト,秋田県が所有する統計、防犯・防災、地理及び暮らしに関わる情報などを、利用者の皆さまが加工、配布等も含めて利用できるデータとして提供（オープン化）することで、ホームページ等で公開されているデータでは難しかった商業利用や効率的なデータ活用など満足度の高いサービスの実現することを目的にしています。,,,,,,,,2024/09/27,人口・世帯、労働・賃金、農林水産業、鉱工業、商業・サービス業、企業・家計・経済、住宅・土地・建設、エネルギー・水、情報通信・科学技術、教育・文化・スポーツ・生活、行財政、司法・安全・環境、運輸・観光、社会保障・衛生、国際、その他、,有,CC-BY
060003,山形県,http://www.pref.yamagata.jp/ou/kikakushinko/020051/opendata.html,http://www.pref.yamagata.jp/ou/kikakushinko/020051/opendata.html,山形県オープンデータカタログ,山形県では、従来のホームページによるわかりやすい情報発信のほかに、どなたでも二次利用できる県のデータを集めたカタログサイトを開設してオープンデータに取り組んでおり、今後、データ数を拡大予定です。,,,,,,,,,人口・世帯、運輸・観光、教育・文化・スポーツ・生活、住民向け情報(暮らしの情報)、子育て、統計,無,CC-BY
070009,福島県,https://www.pref.fukushima.lg.jp/sec/11045a/open-data-top.html,https://www.pref.fukushima.lg.jp/sec/11045a/open-data-top.html,福島県オープンデータ推進コーナー,県が保有するデータのうち、県民生活に身近な情報等を優先して、準備が整ったものから機械判読に適した形式（CSV形式）かつ二次利用可能なルールで順次公開し、オープンデータの拡大を図ります。,,,,,,,,,運輸・観光、教育・文化・スポーツ・生活、社会保障・衛生、住民向け情報(暮らしの情報)、行政活動情報、子育て、統計,無,CC-BY
080004,茨城県,http://www.pref.ibaraki.jp/kikaku/joho/it/opendata/od-00.html,http://www.pref.ibaraki.jp/kikaku/joho/it/opendata/od-00.html,茨城県オープンデータカタログ,茨城県では，県が保有するデータについて、より広く民間の利用に供するため、新たにカタログサイトを開設し、オープンデータとして公開しています。,,,,,,,,,人口・世帯、エネルギー・水、運輸・観光、教育・文化・スポーツ・生活、住民向け情報(暮らしの情報)、行政活動情報、統計,無,CC-BY
090000,栃木県,http://tochigiken.jp/,https://odcs.bodik.jp/090000/,オープンデータ・ベリーとちぎ,このサイトは、栃木県の保有するデータを公開するカタログサイトです。可能な限り、機器判読可能なCSV等の形式でデータを提供しています。,,,,,,,,,人口・世帯、運輸・観光、教育・文化・スポーツ・生活、救急・消防、統計・調査・報告・観測データ,有,CC-BY
100005,群馬県,https://www.pref.gunma.jp/07/b2700057.html,http://www.pref.gunma.jp/07/b2700057.html,群馬県オープンデータサイト,群馬県では、国の「電子行政オープンデータ戦略」を踏まえ、本県のデータを活用できる環境を整備し、公開を進めます。,,,,,,,,,人口・世帯、労働・賃金、農林水産業、商業・サービス業、住宅・土地・建設、運輸・観光、司法・安全・環境、社会保障・衛生,無,CC-BY
110001,埼玉県,https://opendata.pref.saitama.lg.jp/,https://opendata.pref.saitama.lg.jp/,埼玉県オープンデータポータルサイト,埼玉県のオープンデータ化の推進においては、庁内に保有しているデータについて二次利用できる形式による公開を拡大していくとともに、民間ニーズとのマッチングや複数データの組み合わせ等を図ることで効果的なデータ活用を促進していきます。,,,,,,,,,運輸・観光、教育・文化・スポーツ・生活、住民向け情報(暮らしの情報)、行政活動情報、子育て,有,CC-BY
