識別情報,ごみの収集日程_全国地方公共団体コード,ごみの収集日程_団体名,ごみの収集日程_収集地域,ごみの収集日程_年月日,ごみの収集日程_収集分別区分
1,112259,入間市,扇台3～6丁目、久保稲荷3～5丁目、東町2・4・5丁目、善蔵新田、大字黒須、大字扇町屋1217・1219番地,可燃ごみ,2026/04/01
2,112259,入間市,扇台3～6丁目、久保稲荷3～5丁目、東町2・4・5丁目、善蔵新田、大字黒須、大字扇町屋1217・1219番地,プラスチックごみ,2026/04/02
3,112259,入間市,扇台3～6丁目、久保稲荷3～5丁目、東町2・4・5丁目、善蔵新田、大字黒須、大字扇町屋1217・1219番地,可燃ごみ,2026/04/03
4,112259,入間市,扇台3～6丁目、久保稲荷3～5丁目、東町2・4・5丁目、善蔵新田、大字黒須、大字扇町屋1217・1219番地,不燃ごみ,2026/04/04
5,112259,入間市,扇台3～6丁目、久保稲荷3～5丁目、東町2・4・5丁目、善蔵新田、大字黒須、大字扇町屋1217・1219番地,可燃ごみ,2026/04/06
6,112259,入間市,扇台3～6丁目、久保稲荷3～5丁目、東町2・4・5丁目、善蔵新田、大字黒須、大字扇町屋1217・1219番地,ビン・缶・ペットボトル・有害ごみ,2026/04/07
7,112259,入間市,扇台3～6丁目、久保稲荷3～5丁目、東町2・4・5丁目、善蔵新田、大字黒須、大字扇町屋1217・1219番地,可燃ごみ,2026/04/08
8,112259,入間市,扇台3～6丁目、久保稲荷3～5丁目、東町2・4・5丁目、善蔵新田、大字黒須、大字扇町屋1217・1219番地,プラスチックごみ,2026/04/09
9,112259,入間市,扇台3～6丁目、久保稲荷3～5丁目、東町2・4・5丁目、善蔵新田、大字黒須、大字扇町屋1217・1219番地,可燃ごみ,2026/04/10
10,112259,入間市,扇台3～6丁目、久保稲荷3～5丁目、東町2・4・5丁目、善蔵新田、大字黒須、大字扇町屋1217・1219番地,不燃ごみ,2026/04/11
11,112259,入間市,扇台3～6丁目、久保稲荷3～5丁目、東町2・4・5丁目、善蔵新田、大字黒須、大字扇町屋1217・1219番地,可燃ごみ,2026/04/13
12,112259,入間市,扇台3～6丁目、久保稲荷3～5丁目、東町2・4・5丁目、善蔵新田、大字黒須、大字扇町屋1217・1219番地,古布・紙類,2026/04/14
13,112259,入間市,扇台3～6丁目、久保稲荷3～5丁目、東町2・4・5丁目、善蔵新田、大字黒須、大字扇町屋1217・1219番地,可燃ごみ,2026/04/15
