"五十音","町名","可燃ごみ","不燃ごみ","びん・かん・プラ","古紙・ペットボトル","pdf_txt","pdf_url"
"あ","阿佐谷北1～6丁目","水曜日・土曜日","第1,3月曜日","金曜日","月曜日","阿佐谷北1～6丁目ごみ・資源の収集カレンダー（PDF版）","/shared/garbage/12.pdf"
"あ","阿佐谷南1～3丁目","水曜日・土曜日","第2,4月曜日","金曜日","月曜日","阿佐谷南1～3丁目ごみ・資源の収集カレンダー（PDF版）","/shared/garbage/11.pdf"
"あ","天沼1～3丁目","火曜日・金曜日","第1,3水曜日","木曜日","水曜日","天沼1～3丁目ごみ・資源の収集カレンダー（PDF版）","/shared/garbage/2.pdf"
"い","井草1～3丁目","火曜日・金曜日","第2,4水曜日","木曜日","水曜日","井草1～3丁目ごみ・資源の収集カレンダー（PDF版）","/shared/garbage/1.pdf"
"い","井草4・5丁目","火曜日・金曜日","第2,4土曜日","月曜日","土曜日","井草4・5丁目ごみ・資源の収集カレンダー（PDF版）","/shared/garbage/8.pdf"
"い","和泉1丁目","水曜日・土曜日","第2,4金曜日","火曜日","金曜日","和泉1丁目ごみ・資源の収集カレンダー（PDF版）","/shared/garbage/27.pdf"
"い","和泉2～4丁目","水曜日・土曜日","第1,3金曜日","火曜日","金曜日","和泉2～4丁目ごみ・資源の収集カレンダー（PDF版）","/shared/garbage/28.pdf"
"い","今川1～3丁目","火曜日・金曜日","第2,4土曜日","月曜日","土曜日","今川1～3丁目ごみ・資源の収集カレンダー（PDF版）","/shared/garbage/8.pdf"
"い","今川4丁目","火曜日・金曜日","第1,3土曜日","月曜日","土曜日","今川4丁目ごみ・資源の収集カレンダー（PDF版）","/shared/garbage/9.pdf"
"う","梅里1丁目","水曜日・土曜日","第2,4火曜日","金曜日","火曜日","梅里1丁目ごみ・資源の収集カレンダー（PDF版）","/shared/garbage/26.pdf"
"う","梅里2丁目","水曜日・土曜日","第2,4月曜日","金曜日","月曜日","梅里2丁目ごみ・資源の収集カレンダー（PDF版）","/shared/garbage/11.pdf"
"え","永福1～４丁目","月曜日・木曜日","第2,4水曜日","土曜日","水曜日","永福1～４丁目ごみ・資源の収集カレンダー（PDF版）","/shared/garbage/19.pdf"
"お","大宮1・2丁目","水曜日・土曜日","第2,4火曜日","金曜日","火曜日","大宮1・2丁目ごみ・資源の収集カレンダー（PDF版）","/shared/garbage/26.pdf"
"お","荻窪1～5丁目","水曜日・土曜日","第1,3木曜日","火曜日","木曜日","荻窪1～5丁目ごみ・資源の収集カレンダー（PDF版）","/shared/garbage/14.pdf"
"か","上井草1・2丁目","火曜日・金曜日","第2,4土曜日","月曜日","土曜日","上井草1・2丁目ごみ・資源の収集カレンダー（PDF版）","/shared/garbage/8.pdf"
"か","上井草3・4丁目","火曜日・金曜日","第1,3土曜日","月曜日","土曜日","上井草3・4丁目ごみ・資源の収集カレンダー（PDF版）","/shared/garbage/9.pdf"
"か","上荻1丁目","水曜日・土曜日","第1,3木曜日","火曜日","木曜日","上荻1丁目ごみ・資源の収集カレンダー（PDF版）","/shared/garbage/14.pdf"
"か","上荻2～4丁目","水曜日・土曜日","第2,4金曜日","月曜日","金曜日","上荻2～4丁目ごみ・資源の収集カレンダー（PDF版）","/shared/garbage/10.pdf"
"か","上高井戸1～3丁目","月曜日・木曜日","第1,3火曜日","土曜日","火曜日","上高井戸1～3丁目ごみ・資源の収集カレンダー（PDF版）","/shared/garbage/3.pdf"
"く","久我山1～3丁目","月曜日・木曜日","第1,3火曜日","土曜日","火曜日","久我山1～3丁目ごみ・資源の収集カレンダー（PDF版）","/shared/garbage/3.pdf"
"く","久我山4・5丁目","月曜日・木曜日","第2,4火曜日","土曜日","火曜日","久我山4・5丁目ごみ・資源の収集カレンダー（PDF版）","/shared/garbage/4.pdf"
"こ","高円寺北1丁目","火曜日・金曜日","第1,3月曜日","木曜日","月曜日","高円寺北1丁目ごみ・資源の収集カレンダー（PDF版）","/shared/garbage/18.pdf"
"こ","高円寺北2～4丁目","火曜日・金曜日","第1,3木曜日","月曜日","木曜日","高円寺北2～4丁目ごみ・資源の収集カレンダー（PDF版）","/shared/garbage/24.pdf"
"こ","高円寺南1・5丁目","火曜日・金曜日","第1,3月曜日","木曜日","月曜日","高円寺南1・5丁目ごみ・資源の収集カレンダー（PDF版）","/shared/garbage/18.pdf"
"こ","高円寺南2～4丁目","火曜日・金曜日","第2,4木曜日","月曜日","木曜日","高円寺南2～4丁目ごみ・資源の収集カレンダー（PDF版）","/shared/garbage/23.pdf"
"し","清水1・2丁目","火曜日・金曜日","第1,3水曜日","木曜日","水曜日","清水1・2丁目ごみ・資源の収集カレンダー（PDF版）","/shared/garbage/2.pdf"
"し","清水3丁目","火曜日・金曜日","第2,4水曜日","木曜日","水曜日","清水3丁目ごみ・資源の収集カレンダー（PDF版）","/shared/garbage/1.pdf"
