"市区町村コード","NO","都道府県名","市区町村名","町名","丁目","資源プラスチック","びん,ペットボトル","燃やすごみ","陶器,ガラス,金属ごみ","URL","備考","最終確認日","経度","緯度","分類"
"131148","1","東京都","中野区","新井","1;2;4;5","木曜日","金曜日","火曜日;金曜日","第2;第4土曜日","","","2021/02/08 0:00:00","139.663826537922","35.7073459549499","資源とごみの収集曜日一覧"
"131148","2","東京都","中野区","新井","3","木曜日","金曜日","火曜日;金曜日","第1;第3土曜日","","","2021/02/08 0:00:00","139.663826537922","35.7073459549499","資源とごみの収集曜日一覧"
"131148","3","東京都","中野区","江古田","1;3","金曜日","火曜日","水曜日;土曜日","第2;第4木曜日","","","2021/02/08 0:00:00","139.663826537922","35.7073459549499","資源とごみの収集曜日一覧"
"131148","4","東京都","中野区","江古田","2;4","火曜日","火曜日","水曜日;土曜日","第1;第3月曜日","","","2021/02/08 0:00:00","139.663826537922","35.7073459549499","資源とごみの収集曜日一覧"
"131148","5","東京都","中野区","江原町","全域","金曜日","火曜日","水曜日;土曜日","第2;第4木曜日","","","2021/02/08 0:00:00","139.663826537922","35.7073459549499","資源とごみの収集曜日一覧"
"131148","6","東京都","中野区","上鷺宮","全域","月曜日","水曜日","火曜日;金曜日","第2;第4水曜日","","","2021/02/08 0:00:00","139.663826537922","35.7073459549499","資源とごみの収集曜日一覧"
"131148","7","東京都","中野区","上高田","1","土曜日","火曜日","月曜日;木曜日","第2;第4金曜日","","","2021/02/08 0:00:00","139.663826537922","35.7073459549499","資源とごみの収集曜日一覧"
"131148","8","東京都","中野区","上高田","2","木曜日","金曜日","火曜日;金曜日","第2;第4土曜日","","","2021/02/08 0:00:00","139.663826537922","35.7073459549499","資源とごみの収集曜日一覧"
"131148","9","東京都","中野区","上高田","3;4;5","木曜日","火曜日","火曜日;金曜日","第2;第4土曜日","","","2021/02/08 0:00:00","139.663826537922","35.7073459549499","資源とごみの収集曜日一覧"
"131148","10","東京都","中野区","鷺宮","1;3","月曜日","水曜日","火曜日;金曜日","第1;第3水曜日","","","2021/02/08 0:00:00","139.663826537922","35.7073459549499","資源とごみの収集曜日一覧"
"131148","11","東京都","中野区","鷺宮","2","火曜日","水曜日","水曜日;土曜日","第1;第3月曜日","","","2021/02/08 0:00:00","139.663826537922","35.7073459549499","資源とごみの収集曜日一覧"
"131148","12","東京都","中野区","鷺宮","4;5;6","月曜日","水曜日","火曜日;金曜日","第2;第4水曜日","","","2021/02/08 0:00:00","139.663826537922","35.7073459549499","資源とごみの収集曜日一覧"
"131148","13","東京都","中野区","白鷺","1;2","月曜日","水曜日","火曜日;金曜日","第1;第3水曜日","","","2021/02/08 0:00:00","139.663826537922","35.7073459549499","資源とごみの収集曜日一覧"
"131148","14","東京都","中野区","白鷺","3","月曜日","水曜日","火曜日;金曜日","第2;第4水曜日","","","2021/02/08 0:00:00","139.663826537922","35.7073459549499","資源とごみの収集曜日一覧"
"131148","15","東京都","中野区","中央","1;2","土曜日","木曜日","月曜日;木曜日","第2;第4火曜日","","","2021/02/08 0:00:00","139.663826537922","35.7073459549499","資源とごみの収集曜日一覧"
"131148","16","東京都","中野区","中央","3;4;5","水曜日","金曜日","月曜日;木曜日","第1;第3金曜日","","","2021/02/08 0:00:00","139.663826537922","35.7073459549499","資源とごみの収集曜日一覧"
"131148","17","東京都","中野区","中野","1","水曜日","木曜日","月曜日;木曜日","第2;第4金曜日","","","2021/02/08 0:00:00","139.663826537922","35.7073459549499","資源とごみの収集曜日一覧"
"131148","18","東京都","中野区","中野","2;3;5（毎日収集地域は除く）","水曜日","金曜日","月曜日;木曜日","第2;第4金曜日","","","2021/02/08 0:00:00","139.663826537922","35.7073459549499","資源とごみの収集曜日一覧"
"131148","19","東京都","中野区","中野","4","水曜日","金曜日","月曜日;木曜日","第1;第3土曜日","","","2021/02/08 0:00:00","139.663826537922","35.7073459549499","資源とごみの収集曜日一覧"
"131148","20","東京都","中野区","中野","6","土曜日","木曜日","月曜日;木曜日","第2;第4金曜日","","","2021/02/08 0:00:00","139.663826537922","35.7073459549499","資源とごみの収集曜日一覧"
