pref,code,handle,name_ja,population,source_type,A,B,C,D,E,total,rank,estimated
saitama,11225,iruma,入間市,139748,csv,20,25,14,20,10,89,A,C
saitama,11215,sayama,狭山市,142634,xls,20,25,14,10,15,84,A,C
saitama,11222,koshigaya,越谷市,341344,html,20,20,10,10,15,75,A,C
saitama,11241,tsurugashima,鶴ヶ島市,70534,txt,20,20,10,10,15,75,A,C
saitama,11238,hasuda,蓮田市,60584,html,20,15,14,10,15,74,B,C
saitama,11230,niiza,新座市,164382,html,20,15,10,10,15,70,B,C
saitama,11234,yashio,八潮市,93135,html,20,15,10,10,15,70,B,CD
saitama,11223,warabi,蕨市,75954,html,20,15,10,10,15,70,B,C
saitama,11206,gyoda,行田市,75859,json,10,25,10,10,15,70,B,AC
saitama,11228,shiki,志木市,75075,html,20,15,10,10,15,70,B,C
saitama,11231,okegawa,桶川市,73060,html,20,15,10,10,15,70,B,C
saitama,11216,hanyu,羽生市,52179,html,20,15,10,10,15,70,B,C
saitama,11385,kamisato-town,上里町,29434,html,20,15,10,10,15,70,B,CD
saitama,11203,kawaguchi,川口市,594171,pdf,20,10,14,10,15,69,B,C
saitama,11208,tokorozawa,所沢市,343416,pdf,20,10,14,10,15,69,B,C
saitama,11207,chichibu,秩父市,53932,pdf,20,10,14,10,15,69,B,C
saitama,11240,satte,幸手市,47564,pdf,20,10,14,10,15,69,B,C
saitama,11326,moroyama-town,毛呂山町,32987,pdf,20,10,14,10,15,69,B,C
saitama,11348,hatoyama-town,鳩山町,12531,pdf,20,10,14,10,15,69,B,C
saitama,11365,ogano-town,小鹿野町,9236,pdf,20,10,14,10,15,69,B,C
saitama,11361,yokoze-town,横瀬町,7135,pdf,20,10,14,10,15,69,B,C
saitama,11227,asaka,朝霞市,147521,html,20,15,10,10,10,65,B,CD
saitama,11232,kuki,久喜市,146995,pdf,20,10,10,10,15,65,B,C
saitama,11237,misato,三郷市,140427,pdf,20,10,10,10,15,65,B,CD
saitama,11239,sakado,坂戸市,98990,pdf,20,10,10,10,15,65,B,C
saitama,11465,matsubushi-town,松伏町,26882,pdf,20,10,10,10,15,65,B,C
saitama,11343,saitama-ogawa-town,小川町,26033,pdf,20,10,10,10,15,65,B,CD
saitama,11346,kawajima-town,川島町,17788,pdf,20,10,10,10,15,65,B,C
saitama,11347,yoshimi-town,吉見町,16623,pdf,20,10,10,10,15,65,B,C
saitama,11383,saitama-kamikawa-town,神川町,12476,html,20,15,10,10,10,65,B,C
saitama,11381,saitama-misato-town,美里町,10233,html,20,15,10,10,10,65,B,C
saitama,11100,saitama,さいたま市,1351082,json,10,25,14,5,10,64,B,AC
saitama,11201,kawagoe,川越市,355376,pdf,20,10,14,10,10,64,B,C
saitama,11218,fukaya,深谷市,137934,pdf,20,10,14,10,10,64,B,CD
saitama,11243,yoshikawa,吉川市,71136,pdf,20,10,14,10,10,64,B,CD
saitama,11464,sugito-town,杉戸町,42377,pdf,20,10,14,10,10,64,B,C
saitama,11341,namegawa-town,滑川町,19904,pdf,20,10,14,10,10,64,B,CD
saitama,11349,tokigawa-town,ときがわ町,9606,pdf,20,10,14,10,10,64,B,C
saitama,11202,kumagaya,熊谷市,188244,pdf,20,10,10,10,10,60,B,CD
saitama,11217,kounosu,鴻巣市,115442,pdf,20,10,10,10,10,60,B,C
saitama,11212,higashimatsuyama,東松山市,91589,pdf,20,10,10,10,10,60,B,CD
saitama,11229,wako,和光市,84378,html,20,15,10,10,5,60,B,CE
saitama,11211,honjo,本庄市,76085,html,20,15,10,10,5,60,B,CDE
saitama,11233,kitamoto,北本市,64120,pdf,20,10,10,10,10,60,B,C
saitama,11408,yorii-town,寄居町,30495,pdf,20,10,10,10,10,60,B,C
saitama,11342,ranzan-town,嵐山町,17261,pdf,20,10,10,10,10,60,B,C
saitama,11369,higashichichibu-vill,東秩父村,2223,html,20,15,10,10,5,60,B,CE
saitama,11210,kazo,加須市,109479,image-pdf,20,3,10,10,15,58,C,CD
saitama,11301,saitama-ina-town,伊奈町,44420,image-pdf,20,3,10,10,15,58,C,C
saitama,11221,soka,草加市,251623,pdf,20,10,10,10,5,55,C,CDE
saitama,11245,fujimino,ふじみ野市,112602,pdf,20,10,10,10,5,55,C,CE
saitama,11246,shiraoka,白岡市,51298,pdf,20,10,10,10,5,55,C,CDE
saitama,11362,minano-town,皆野町,8278,pdf,20,10,10,10,5,55,C,CE
saitama,11363,nagatoro-town,長瀞町,5998,pdf,20,10,10,10,5,55,C,CDE
saitama,11214,kasukabe,春日部市,222659,image-pdf,20,3,10,10,10,53,C,C
saitama,11224,toda,戸田市,139749,image-pdf,20,3,14,10,5,52,C,CE
saitama,11219,ageo,上尾市,224884,image-pdf,20,3,10,10,5,48,C,CE
saitama,11235,fujimi,富士見市,113307,image-pdf,20,3,10,10,5,48,C,CE
saitama,11324,saitama-miyoshi-town,三芳町,37201,image-pdf,20,3,10,10,5,48,C,CE
saitama,11442,miyashiro-town,宮代町,33509,image-pdf,20,3,10,10,5,48,C,CDE
saitama,11209,hanno,飯能市,77256,pdf,10,10,10,10,5,45,C,ACDE
saitama,11242,hidaka,日高市,53141,pdf,10,10,10,10,5,45,C,ACDE
saitama,11327,ogose-town,越生町,10097,none,0,0,0,0,0,0,E,
