pref,code,handle,name_ja,population,source_type,A,B,C,D,E,total,rank,estimated
saitama,11225,iruma,入間市,139748,csv,20,25,20,20,10,95,S,
tokyo,13114,tokyo-nakano,中野区,345178,csv,20,25,10,20,15,90,S,
saitama,11215,sayama,狭山市,142634,xls,20,25,20,10,15,90,S,
tokyo,13112,setagaya,世田谷区,931922,csv,20,25,10,20,10,85,A,
tokyo,13111,tokyo-ota,大田区,748569,xls,20,25,10,20,10,85,A,
tokyo,13108,koto,江東区,544445,csv,20,25,10,20,10,85,A,
tokyo,13109,shinagawa,品川区,418389,csv,20,25,10,20,10,85,A,
saitama,11222,koshigaya,越谷市,341344,html,20,20,20,10,15,85,A,
tokyo,13106,taito,台東区,217798,csv,15,25,10,20,15,85,A,
tokyo,13229,nishitokyo,西東京市,207812,txt,20,20,20,10,15,85,A,
tokyo,13115,suginami,杉並区,585730,csv,20,25,14,10,15,84,A,
tokyo,13209,machida,町田市,431440,html,20,15,20,10,15,80,A,
tokyo,13118,arakawa,荒川区,226289,csv,20,25,14,10,10,79,A,D
saitama,11203,kawaguchi,川口市,594171,pdf,20,10,20,10,15,75,A,
tokyo,13119,itabashi,板橋区,587481,pdf,20,10,20,10,15,75,A,
saitama,11208,tokorozawa,所沢市,343416,pdf,20,10,20,10,15,75,A,
tokyo,13103,minato,港区,270458,pdf,20,10,20,10,15,75,A,
tokyo,13208,chofu,調布市,242418,txt,20,20,20,10,5,75,A,E
tokyo,13211,kodaira,小平市,198303,pdf,20,10,20,10,15,75,A,
tokyo,13212,hino,日野市,189522,pdf,20,10,20,10,15,75,A,
saitama,11232,kuki,久喜市,146995,pdf,20,10,20,10,15,75,A,
saitama,11239,sakado,坂戸市,98990,pdf,20,10,20,10,15,75,A,
tokyo,13220,higashiyamato,東大和市,85022,pdf,20,10,20,10,15,75,A,
tokyo,13228,akiruno,あきる野市,78460,pdf,20,10,20,10,15,75,A,
tokyo,13221,kiyose,清瀬市,76157,pdf,20,10,20,10,15,75,A,
tokyo,13101,chiyoda,千代田区,69736,pdf,20,10,20,10,15,75,A,
saitama,11207,chichibu,秩父市,53932,pdf,20,10,20,10,15,75,A,
saitama,11240,satte,幸手市,47564,pdf,20,10,20,10,15,75,A,
saitama,11326,moroyama-town,毛呂山町,32987,pdf,20,10,20,10,15,75,A,
tokyo,13303,tokyo-mizuho-town,瑞穂町,31893,pdf,20,10,20,10,15,75,A,
saitama,11465,matsubushi-town,松伏町,26882,pdf,20,10,20,10,15,75,A,
saitama,11343,saitama-ogawa-town,小川町,26033,pdf,20,10,20,10,15,75,A,D
saitama,11346,kawajima-town,川島町,17788,pdf,20,10,20,10,15,75,A,
saitama,11347,yoshimi-town,吉見町,16623,pdf,20,10,20,10,15,75,A,
saitama,11348,hatoyama-town,鳩山町,12531,pdf,20,10,20,10,15,75,A,
saitama,11365,ogano-town,小鹿野町,9236,pdf,20,10,20,10,15,75,A,
saitama,11361,yokoze-town,横瀬町,7135,pdf,20,10,20,10,15,75,A,
tokyo,13204,mitaka,三鷹市,191747,html,20,20,14,10,10,74,B,
saitama,11238,hasuda,蓮田市,60584,html,20,15,14,10,15,74,B,
saitama,11100,saitama,さいたま市,1351082,json,10,25,20,5,10,70,B,A
tokyo,13120,nerima,練馬区,752789,html,20,15,10,10,15,70,B,
tokyo,13201,hachioji,八王子市,559753,pdf,20,10,20,10,10,70,B,
tokyo,13110,meguro,目黒区,283795,pdf,20,10,20,10,10,70,B,
saitama,11230,niiza,新座市,164382,html,20,15,10,10,15,70,B,
tokyo,13224,tama,多摩市,148612,pdf,20,10,20,10,10,70,B,
tokyo,13214,kokubunji,国分寺市,130916,pdf,20,10,20,10,10,70,B,D
tokyo,13210,koganei,小金井市,126610,pdf,20,10,20,10,10,70,B,D
saitama,11217,kounosu,鴻巣市,115442,pdf,20,10,20,10,10,70,B,
tokyo,13225,inagi,稲城市,95110,pdf,20,10,20,10,10,70,B,
saitama,11234,yashio,八潮市,93135,html,20,15,10,10,15,70,B,D
saitama,11212,higashimatsuyama,東松山市,91589,pdf,20,10,20,10,10,70,B,D
tokyo,13219,komae,狛江市,82189,pdf,20,10,20,10,10,70,B,D
tokyo,13215,kunitachi,国立市,76879,pdf,20,10,20,10,10,70,B,
saitama,11223,warabi,蕨市,75954,html,20,15,10,10,15,70,B,
saitama,11206,gyoda,行田市,75859,json,10,25,10,10,15,70,B,A
saitama,11228,shiki,志木市,75075,html,20,15,10,10,15,70,B,
saitama,11231,okegawa,桶川市,73060,html,20,15,10,10,15,70,B,
saitama,11243,yoshikawa,吉川市,71136,pdf,20,10,20,10,10,70,B,D
tokyo,13218,fussa,福生市,56961,pdf,15,10,20,10,15,70,B,
saitama,11464,sugito-town,杉戸町,42377,pdf,20,10,20,10,10,70,B,
saitama,11408,yorii-town,寄居町,30495,pdf,20,10,20,10,10,70,B,
saitama,11385,kamisato-town,上里町,29434,html,20,15,10,10,15,70,B,D
saitama,11341,namegawa-town,滑川町,19904,pdf,20,10,20,10,10,70,B,D
saitama,11349,tokigawa-town,ときがわ町,9606,pdf,20,10,20,10,10,70,B,
tokyo,13361,tokyo-oshima-town,大島町,6500,pdf,15,10,20,10,15,70,B,D
tokyo,13308,okutama-town,奥多摩町,4322,pdf,20,10,20,10,10,70,B,
tokyo,13381,miyake-vill,三宅村,2108,html,20,20,10,10,10,70,B,D
tokyo,13307,hinohara-vill,檜原村,1892,pdf,20,10,20,10,10,70,B,
tokyo,13362,tokyo-toshima-vill,利島村,308,pdf,20,10,20,10,10,70,B,
tokyo,13104,shinjuku,新宿区,356134,html,20,15,14,10,10,69,B,
