pref,code,handle,name_ja,population,status,source_type,granularity,core_missing,difficulty,license,yearend,district_unit,district_count_approx,schedule_url,calendar_urls,verify_sources,surveyed_at,notes
saitama,11100,saitama,さいたま市,1351082,,json,dates,,2,proprietary-site,calendar-explicit,地区,70,https://admin.gomisuke.jp/app/0017/api/jsonp.php?file=calendar,https://www.city.saitama.lg.jp/001/006/010/003/p042612.html?page=area；https://www.city.saitama.lg.jp/001/006/010/003/p001912.html；https://www.city.saitama.lg.jp/001/006/010/003/p005300_d/fil/r8_jp_gomimanual.pdf,site-json；booklet,2026-07-17,"【前回G1のdifficulty=4/unknownを是正】gomisukeエンドポイントの実体取得を実施し疑問点を解消。 一次ソースは優先順③に該当する JSON(JSONP)。さいたま市公式カレンダーページ (p042612.html?page=area)は第三者商用サービス「ごみすけ(gomisuke)」app0017を埋め込み、 実データは admin.gomisuke.jp/app/0017/api/jsonp.php?file={area,type,calendar} から JSONP で配信(curl 200・認証不要、Referer付与で取得確認済)。3ファイル結合で完全再構成可: (1) file=area … areaID→町名リスト(全70エリア, 【区名】::町名… 形式) (2) file=type … typeID→ごみ種別名(1もえるごみ/2もえないごみ/6びん/7かん/8ペット/9容プラ/4古紙/5繊維/3有害危険/…/15お休み) (3) file=calendar(約290KB) … 月×areaID×日→typeID群。202601〜202703 の15ヶ月ローリング(年末年始含む)。 政令市10区は全区この単一 gomisuke システムで統一(区ごとに別ソース構造は無い)。収集グループ数は 区で差(南区13が最多、西区3が最少)。アプリ「さいちゃん(jp.gomisuke.app.Gomisuke0017)」iOS/Android も同バックエンド。 年末年始は毎年カレンダーデータに直接反映され明示的(告知待ちでない)。 埼玉県ODポータル opendata.pref.saitama.lg.jp にごみ収集日の個別ODは無し(確認済)。 出し方マニュアルPDF(r8)はテキスト層あり=検証用に利用可。gomisuke配信データは商用サービス由来で ライセンス明示なし=proprietary-site 扱い。難易度2(構造化JSON・JSONP除去と3ファイルjoinのみ)。 【収録方針 2026-07-18】gomisuke API は本プロジェクトの一次ソースとして採用しない (playbook 参照)。収録時は市の直接公開物 (出し方マニュアルPDF等) か市への照会経由で。スコアは公開状況の記述として維持。"
saitama,11201,kawagoe,川越市,355376,,pdf,weekday-rules,,3,proprietary-site,calendar-explicit,コース,60,https://www.city.kawagoe.saitama.jp/kurashi/gomi/1002375/1020639.html,https://www.city.kawagoe.saitama.jp/_res/projects/default_project/_page_/001/020/639/r8_04.pdf；https://www.city.kawagoe.saitama.jp/_res/projects/default_project/_page_/001/020/639/r8_05-06.pdf；https://www.city.kawagoe.saitama.jp/_res/projects/default_project/_page_/001/020/639/r8_07-08.pdf；https://www.city.kawagoe.saitama.jp/_res/projects/default_project/_page_/001/020/639/r8_09-10.pdf；https://www.city.kawagoe.saitama.jp/_res/projects/default_project/_page_/001/020/639/r8_11-12.pdf；https://www.city.kawagoe.saitama.jp/_res/projects/default_project/_page_/001/020/639/r8_13-14.pdf；https://www.city.kawagoe.saitama.jp/_res/projects/default_project/_page_/001/020/639/r8_15-16.pdf,booklet；app,2026-07-17,令和8年度版。収集は「自治会別」で全60コース。日程表PDF(r8_05-06〜15-16)は pdftotext でテキスト層あり(分別×コースの曜日グリッド。日付ではなく曜日ベース)。 コース一覧表PDF(r8_04)も自治会名→コース番号のテキスト層あり。分別は 可燃/プラスチック製容器包装/不燃・有害/布類/紙類/びん・かん・ペットボトル。 年末年始は「土日・12/30〜1/3休」とページに明示。収集曜日オープンデータ・ テキスト版カレンダー・サイト内CSV/JSONは無し(自治体OD言及なし)。電子ブック版 冊子(16p)あり。川越市ごみ分別アプリ(ごみすけ)あり。粗大は申込制。 課: 環境部資源循環推進課/収集管理課(049-239-5058)。
saitama,11202,kumagaya,熊谷市,188244,,pdf,weekday-rules,,3,unknown,unknown,町名,,https://www.city.kumagaya.lg.jp/kurashi/kankyo/gomi/gomidasi.files/syuusyuubi.pdf,https://www.city.kumagaya.lg.jp/kurashi/kankyo/gomi/gomidasi.html；https://www.city.kumagaya.lg.jp/about/soshiki/shochoko/kohokotyo/oshirase/reiwa8nenndokarennda.html,booklet；app,2026-07-17,"一次候補「集積所所在地別収集曜日一覧表(50音順)」syuusyuubi.pdf はテキスト層あり(pdftotext可)。 ただし対象は燃えるごみ/資源物(紙類)/粗大ごみの3種のみで、缶・ビン・ペットボトル・不燃ごみは moenaimono.html 等の別ページで規定 → 一次ソースを複数束ねる必要あり。区域は「町字名+境界道路」単位。 月次「くらしのカレンダー」PDF(gomidasi.html に R8.7.pdf 等)も併存。熊谷市ごみ分別アプリあり。 収集日オープンデータは未発見(市OD言及はあるが収集日データセット未確認)。 ※旧URL gomidasi.files/syusyubi.pdf は404、正は syuusyuubi.pdf。年末年始扱いは未確認。
"
saitama,11203,kawaguchi,川口市,594171,collected,pdf,dates,,3,proprietary-site,calendar-explicit,地区,18,https://www.city.kawaguchi.lg.jp/soshiki/01100/040/4/2/3488.html,https://www.city.kawaguchi.lg.jp/material/files/group/94/2026---1.pdf；https://www.city.kawaguchi.lg.jp/material/files/group/94/2026---18.pdf；https://www.city.kawaguchi.lg.jp/material/files/group/94/banngouitirannhyou.pdf,course-pdf；html,2026-07-17,地区別ごみ収集日カレンダーPDF (18地区、2025/2026各1〜18) が一次ソース。 URLパターン: 令和8年 material/files/group/94/2026---{1..18}.pdf、令和7年 2025--{1..18}.pdf。 地区番号↔町丁目の対応は banngouitirannhyou.pdf。PDFはテキスト層あり (curl 200/pdftotext成功、 地区名・曜日ルール・実日付が抽出可)。1地区は複数の町丁目/町会をグループ化 (例①=金山町/舟戸町/川口1丁目/本町1-4/幸町1-3/栄町1-3)。 収集: 一般・有害=週2曜日、プラ容器包装=週1、びん/かん・金属/紙・ペット/繊維=第n週の曜日指定。 PDFに1〜12月の実日付が明示され年末年始も日付で確認可 (calendar-explicit)。 検証用: 公式検索ページ kawaguchi-gomimaru.jp (住所→地区→曜日表示、HTMLのみ・.csv/.json参照なし)。 オープンデータCSVは自治体OD・埼玉県ポータルとも収集日データは発見できず (unknown→なし想定)。 分別アプリは未確認だがメール通知サービス・粗大ごみネット受付・集積所検索は別途あり。
saitama,11206,gyoda,行田市,75859,,json,weekday-rules,,2,proprietary-site,december-announce,町名,132,https://www.city.gyoda.lg.jp/kurashi/gomi/gomi_search/chikubetsu/search.html,https://www.city.gyoda.lg.jp/soshiki/kankyokeizaibu/kankyo/gyomu/gomi/recycle/3208.html；https://www.city.gyoda.lg.jp/material/files/group/18/syuusyuu.pdf；https://www.city.gyoda.lg.jp/material/files/group/18/r6-12.pdf,site-json；course-pdf,2026-07-17,"収集曜日検索は SMART CMS(smart-lgov)の汎用データJSON APIが駆動。CLIから token/type_id=2 で 132町全件を200取得成功(実データ確認済)。header列= 燃えるごみ/燃えないごみ/粗大ごみ/有害ごみ/ 資源物(缶・ビン類)/資源物(紙・布類)。曜日は「毎週火・金」「毎月第4木曜日」等の日本語表記。 独立検証に資源物地区別収集日程表PDF(group/18)が使える。source_typeはenum外だが本質はCSV/JSON層。
"
saitama,11207,chichibu,秩父市,53932,,pdf,dates,,3,proprietary-site,calendar-explicit,地区,43,https://www.city.chichibu.lg.jp/9098.html,https://city.chichibu.lg.jp/secure/22218/28%E6%A0%83%E8%B0%B7.pdf；https://www.c-kouiki.jp/gomi-2-2-2-2-2-2/calendar-1-2/,course-pdf；booklet,2026-07-17,収集主体は秩父広域市町村圏組合(5市町共同)、日程管理は秩父市生活衛生課。 市サイト /9098.html に地区別ごみカレンダーPDFを掲載。地区は 43分割 (秩父中央34・吉田4・大滝2・荒川3)、PDFは /secure/22218/01〜43 の番号+地区名.pdf。 PDF はテキスト層あり(pdftotext 抽出可、CLI 200)だが月別カレンダーのグリッド レイアウトで日番号と品目名が散在するため要パース=difficulty 3。令和7年度版 (4月〜翌3月)のため年末年始も表内に含まれる想定(グリッド中の12/1月部分は 未詳細確認)。テキスト版カレンダー・収集曜日CSV/JSONは未発見。埼玉県OD ポータルにも秩父市のごみ収集日データセットは無し(県共同データセットも無し確認済)。 組合サイト(c-kouiki.jp)のカレンダーは申込フォーム経由でPDF送付、直リンク無し だが検証用の独立系統として利用可。アプリ提供は未確認。
saitama,11208,tokorozawa,所沢市,343416,collected,pdf,dates,,3,proprietary-site,calendar-explicit,町名,,https://www.city.tokorozawa.saitama.jp/kurashi/gomi/nittei/index.html,https://www.city.tokorozawa.saitama.jp/kurashi/gomi/nittei/haitai20160309105228447.html；https://www.city.tokorozawa.saitama.jp/kurashi/gomi/nittei/haitai20160309091749902.files/R8aobadai.pdf,course-pdf,2026-07-17,"地区別収集カレンダーは頭文字別8ページ(あ行/か・き/く・け・こ/さ行/た・な行/は行/ま行/や・わ行)に 各町ごとの個別PDFが並ぶ(「は行」だけで15PDF、全体で数十〜百規模とみられる)。R8hanazono.pdf を DLし pdftotext 検証: テキスト層あり(2頁23036字)、4月〜翌3月の通年・日付入りカレンダーで機械抽出可。 年末年始も日付入りで明示される見込み(通年カレンダーのため)。CSV/テキスト版ODは無し。分別アプリ 「わけトコっ！」あり。地区数が多く個別PDFを網羅する手間が主コスト。市サイトはCC宣言なし。 【統括実測 2026-07-18】R8aobadai.pdf を取得し pdftotext 8,539字 = テキスト層あり・日付入り通年を追認 (全数検査の URL 未記録分の補完)。"
saitama,11209,hanno,飯能市,77256,collected,image-pdf,dates,,4,proprietary-site,calendar-explicit,,,https://www.city.hanno.lg.jp/soshikikarasagasu/kankyokeizaibu/cleancenter/4/893.html,,,,収録済み (municipalities/saitama/ 参照)。triage 対象外。 【統括バックフィル 2026-07-18】hanno-data の sources.yaml から一次ソースを転記: コース別年間カレンダー PDF (日付入り・テキスト層あり)。市は PDF URL を予告なく変える運用のため index ページからの動的発見が必要 → 取得性 A=15 に override。検証ソースは単一。 【統括実確認 2026-07-18】「テキスト層あり」は誤った推定だった。2026haraichibanaguri.pdf を実取得し pdftotext 出力 2 バイト = テキスト層なしの画像 PDF と確認 → image-pdf/d4 に是正。収録時に LLM ベースの抽出パイプライン (tools/pdf-extractor) を要したのはこのため。
saitama,11210,kazo,加須市,109479,,image-pdf,dates,,4,unknown,unknown,地区/自治会 (4合併地域→地区→町丁目・自治会グループ),71,https://www.city.kazo.lg.jp/kurashi_bosai/gomi_recycle/1/index.html,https://www.city.kazo.lg.jp/soshiki/shigen/gomicalendar/28813.html；https://www.city.kazo.lg.jp/soshiki/shigen/gomicalendar/28814.html；https://www.city.kazo.lg.jp/soshiki/shigen/gomicalendar/28815.html；https://www.city.kazo.lg.jp/soshiki/shigen/gomicalendar/28816.html,region-calendar-pages；wakekata-pdf；third-party-search,2026-07-17,"一次ソースは公式サイトの地域別ごみカレンダーPDF群のみ。CSV/JSON/オープンデータは 未提供 (ページHTMLに .csv/.json 参照なし、埼玉県ポータルの加須市データは広報誌URLのみ、 ごみ収集データセットは無し)。カレンダーPDFは全て画像PDF (pdftotext=0文字, pdffonts=埋込 フォントなし; 例 chuuou1.pdf 1.1MB/1p, iitsumi.pdf 18MB/1p) のためOCR必須→difficulty 4。 対照的に「分け方」解説PDF (wakekata.pdf) にはテキスト層あり。地区割は2010年合併の 4地域 (加須58本/騎西7本/北川辺3本/大利根3本=計約71本) を町丁目・自治会単位に細分。 ファイル名接頭 080101〜080158 等で地区順に整理。年末年始は年度版カレンダー(4月〜翌3月)に 作図されている可能性が高いが画像のため中身未確認(index頁の12/29-1/3は窓口閉庁の記載)。 curl/WebFetchとも200で取得可 (403なし)。非公式のakizuki検索CGIが地区別収集日を提供するが 出典・機械可読データの記載なし。
"
saitama,11211,honjo,本庄市,76085,,html,unknown,,4,unknown,unknown,自治会,,https://www.city.honjo.lg.jp/kurashi_tetsuzuki/gomi/gominoshushubikensaku/index.html,,app,2026-07-17,"収集日は「自治会別」。一次候補は市サイトの「ごみの収集日検索(自治会別)」だが、 検索は外部サービス(mt.adaptive-techs.com HttpAdaptor)駆動で、ページソースに 収集日を持つ .csv/.json/.pdf の直リンクを発見できず(自治会マスタ・曜日データの 実体が不可視)。自治会数は未確認(null)。収集は児玉郡市広域市町村圏組合の管轄で、 分別アプリ(ロカポ系, 本庄市・美里町・神川町・上里町)とごみ分別辞典(gomisaku.jp /0239)あり=アプリ側にカレンダー機能。年末年始・OD言及は未確認。 収録には検索フォームの裏データ特定 or アプリのデータ源調査が必要で難度高め。"
