code,pref,handle,name_ja,course,course_name_ja,areas,ics
01460,hokkaido,kamifurano-town,上富良野町,aka,赤コース,緑町；旭町；新町；東町；向町；丘町；桜町；南町3丁目；東中市街地,https://tecolicom.github.io/japan-gomi-data/ics/kamifurano-town/aka.ics
01460,hokkaido,kamifurano-town,上富良野町,ao,青コース,錦町；中町；栄町；泉町；扇町；西町；光町；北町,https://tecolicom.github.io/japan-gomi-data/ics/kamifurano-town/ao.ics
01460,hokkaido,kamifurano-town,上富良野町,midori,緑コース,富町；大町；本町；宮町；南町（南町3丁目を除く）,https://tecolicom.github.io/japan-gomi-data/ics/kamifurano-town/midori.ics
01460,hokkaido,kamifurano-town,上富良野町,noson-higashi,農村東コース,清富；日新；日の出；旭野；富原；東中（東中市街地を除く）,https://tecolicom.github.io/japan-gomi-data/ics/kamifurano-town/nosonhigashi.ics
01460,hokkaido,kamifurano-town,上富良野町,noson-nishi,農村西コース,草分；里仁；江幌；静修；江花；島津,https://tecolicom.github.io/japan-gomi-data/ics/kamifurano-town/nosonnishi.ics
11208,saitama,tokorozawa,所沢市,1,,青葉台；岩岡町；北中二・三・四丁目；東新井町,https://tecolicom.github.io/japan-gomi-data/ics/tokorozawa/1.ics
11208,saitama,tokorozawa,所沢市,2,,旭町；くすのき台；西新井町,https://tecolicom.github.io/japan-gomi-data/ics/tokorozawa/2.ics
11208,saitama,tokorozawa,所沢市,3,,荒幡；星の宮；元町,https://tecolicom.github.io/japan-gomi-data/ics/tokorozawa/3.ics
11208,saitama,tokorozawa,所沢市,4,,泉町；けやき台；西所沢二丁目,https://tecolicom.github.io/japan-gomi-data/ics/tokorozawa/4.ics
11208,saitama,tokorozawa,所沢市,5,,牛沼；亀ケ谷；北中一丁目；小手指町一・二丁目；坂之下；新郷；日比田；南永井,https://tecolicom.github.io/japan-gomi-data/ics/tokorozawa/5.ics
11208,saitama,tokorozawa,所沢市,6,,榎町；緑町,https://tecolicom.github.io/japan-gomi-data/ics/tokorozawa/6.ics
11208,saitama,tokorozawa,所沢市,7,,金山町；宮本町,https://tecolicom.github.io/japan-gomi-data/ics/tokorozawa/7.ics
11208,saitama,tokorozawa,所沢市,8,,上新井一・二・三丁目,https://tecolicom.github.io/japan-gomi-data/ics/tokorozawa/8.ics
11208,saitama,tokorozawa,所沢市,9,,上新井四・五丁目,https://tecolicom.github.io/japan-gomi-data/ics/tokorozawa/9.ics
11208,saitama,tokorozawa,所沢市,10,,上安松,https://tecolicom.github.io/japan-gomi-data/ics/tokorozawa/10.ics
11208,saitama,tokorozawa,所沢市,11,,上山口；本郷,https://tecolicom.github.io/japan-gomi-data/ics/tokorozawa/11.ics
11208,saitama,tokorozawa,所沢市,12,,神米金；北岩岡；下富；所沢新町,https://tecolicom.github.io/japan-gomi-data/ics/tokorozawa/12.ics
11208,saitama,tokorozawa,所沢市,13,,北秋津,https://tecolicom.github.io/japan-gomi-data/ics/tokorozawa/13.ics
11208,saitama,tokorozawa,所沢市,14,,北所沢町,https://tecolicom.github.io/japan-gomi-data/ics/tokorozawa/14.ics
11208,saitama,tokorozawa,所沢市,15,,北野；北野新町；小手指町五丁目；小手指元町,https://tecolicom.github.io/japan-gomi-data/ics/tokorozawa/15.ics
11208,saitama,tokorozawa,所沢市,16,,北野南；小手指南,https://tecolicom.github.io/japan-gomi-data/ics/tokorozawa/16.ics
